year,name,sumrelig,pop,religions,relpop
1980,URU,2353515,2914000,chrstgen,2064960
1985,URU,2735520,3008000,chrstgen,2075520
1990,URU,2733360,3094000,chrstgen,2262800
1995,URU,2350200,3149000,chrstgen,2286480
2000,URU,3150389,3337000,chrstgen,2470035
2005,URU,3288841,3306000,chrstgen,2705243
2010,URU,3339251,3356679,chrstgen,2746709
1945,UKG,49181812,49182000,chrstgen,46482480
1950,UKG,50601526,50616000,chrstgen,47348064
1955,UKG,51100845,51199000,chrstgen,47094083
1960,UKG,52280166,52372000,chrstgen,47520102
1965,UKG,54319484,54350000,chrstgen,48806121
1970,UKG,55558802,55632000,chrstgen,49292140
1975,UKG,55940304,56226000,chrstgen,49263092
1980,UKG,55921812,56330000,chrstgen,48834047
1985,UKG,56315448,56685000,chrstgen,48605000
1990,UKG,57155031,57561000,chrstgen,48498500
1995,UKG,58559509,58606000,chrstgen,48904250
2000,UKG,58654589,58830000,chrstgen,42458524
2005,UKG,59771300,60238000,chrstgen,40989298
2010,UKG,60025215,62206876,chrstgen,38957273
1945,IRE,2944589,2950000,chrstgen,2939472
1950,IRE,2968822,2969000,chrstgen,2964542
1955,IRE,2908905,2921000,chrstgen,2904585
1960,IRE,2830806,2832000,chrstgen,2816080
1965,IRE,2863577,2876000,chrstgen,2854407
1970,IRE,2924931,2978248,chrstgen,2915103
1975,IRE,3145476,3177000,chrstgen,3131997
1980,IRE,3366024,3401000,chrstgen,3348892
1985,IRE,3380074,3443405,chrstgen,3333827
1990,IRE,3411127,3525719,chrstgen,3335763
1995,IRE,3597446,3601000,chrstgen,3486468
2000,IRE,3693394,3730000,chrstgen,3529605
2005,IRE,4078594,4131000,chrstgen,3855152
2010,IRE,4450132,4462987,chrstgen,4150307
1955,NTH,10748189,10751000,chrstgen,9958686
1960,NTH,11459519,11480000,chrstgen,10476421
1965,NTH,12120903,12292000,chrstgen,10936461
1970,NTH,12599765,13032000,chrstgen,11212975
1975,NTH,13168690,13653000,chrstgen,11312510
1980,NTH,13744817,14144000,chrstgen,11419245
1985,NTH,14403519,14484000,chrstgen,11427907
1990,NTH,14951481,14952000,chrstgen,11346000
1995,NTH,15383539,15459000,chrstgen,11215247
2000,NTH,15760179,15786000,chrstgen,10625781
2005,NTH,15978582,16320000,chrstgen,10570926
2010,NTH,16599530,16612522,chrstgen,9626041
1945,BEL,8214127,8344000,chrstgen,8149719
1950,BEL,8638969,8639000,chrstgen,8488651
1955,BEL,8867972,8868000,chrstgen,8601056
1960,BEL,9152937,9153000,chrstgen,8819423
1965,BEL,9463787,9464000,chrstgen,9011675
1970,BEL,9653406,9656000,chrstgen,8943266
1975,BEL,9605044,9795000,chrstgen,8872452
1980,BEL,9556684,9847000,chrstgen,8801639
1985,BEL,9833839,9858000,chrstgen,8648544
1990,BEL,9956200,9967000,chrstgen,8495449
1995,BEL,10102127,10137000,chrstgen,8222233
2000,BEL,9843765,10161000,chrstgen,7909604
2005,BEL,10427350,10473000,chrstgen,8139550
2010,BEL,10231879,10876395,chrstgen,7526165
1945,LUX,281311,283000,chrstgen,279687
1950,LUX,295347,296000,chrstgen,293857
1955,LUX,304334,305000,chrstgen,302786
1960,LUX,313347,314000,chrstgen,311714
1965,LUX,331006,332000,chrstgen,322192
1970,LUX,338046,339000,chrstgen,325050
1975,LUX,358507,359000,chrstgen,343964
1980,LUX,363749,364000,chrstgen,347660
1985,LUX,366964,367000,chrstgen,349465
1990,LUX,381838,382000,chrstgen,352790
1995,LUX,409872,410000,chrstgen,376823
2000,LUX,430448,431000,chrstgen,404690
2005,LUX,464833,465000,chrstgen,436200
2010,LUX,498070,505838,chrstgen,460637
1945,FRN,39698044,39700000,chrstgen,37239888
1950,FRN,41629845,41736000,chrstgen,38511767
1955,FRN,42877623,43428000,chrstgen,38955930
1960,FRN,44534081,45684000,chrstgen,39808773
1965,FRN,48123539,48758000,chrstgen,42091117
1970,FRN,50615874,50768000,chrstgen,43475937
1975,FRN,52480793,52699000,chrstgen,44111544
1980,FRN,53845708,53880000,chrstgen,44747150
1985,FRN,55259636,55284000,chrstgen,45233457
