year,name,sumrelig,pop,religions,relpop
2010,GAB,1398709,1402214,syncgen,0
1960,CEN,1274041,1297000,syncgen,0
1965,CEN,1401723,1432000,syncgen,0
1970,CEN,1691000,1870000,syncgen,0
1975,CEN,1919949,2046000,syncgen,0
1980,CEN,2102911,2309000,syncgen,0
1985,CEN,2536981,2608000,syncgen,0
1990,CEN,2842000,2929000,syncgen,0
1995,CEN,3271779,3273000,syncgen,0
2000,CEN,3544707,3615000,syncgen,0
2005,CEN,4087680,4101000,syncgen,0
2010,CEN,4487604,4502654,syncgen,0
1960,CHA,3057578,3064000,syncgen,0
1965,CHA,3229640,3310000,syncgen,0
1970,CHA,3619908,3640000,syncgen,0
1975,CHA,3977838,4030000,syncgen,0
1980,CHA,4473306,4477000,syncgen,0
1985,CHA,5004559,5020000,syncgen,0
1990,CHA,5678952,5687000,syncgen,0
1995,CHA,6329898,6335000,syncgen,0
2000,CHA,7578127,7651000,syncgen,1959
2005,CHA,9993439,10019000,syncgen,3286
2010,CHA,11464829,11499083,syncgen,3771
1960,CON,984496,988000,syncgen,0
1965,CON,1101583,1111000,syncgen,0
1970,CON,1261847,1263000,syncgen,0
1975,CON,1431674,1447000,syncgen,43
1980,CON,1664945,1669000,syncgen,85
1985,CON,1878623,1924000,syncgen,128
1990,CON,2164378,2232000,syncgen,170
1995,CON,2501521,2593000,syncgen,188
2000,CON,2752982,2943000,syncgen,207
2005,CON,3368942,3406000,syncgen,230
2010,CON,3837146,4004306,syncgen,280
1960,DRC,13864210,14106000,syncgen,0
1965,DRC,17306252,17378000,syncgen,0
1970,DRC,21628686,21638000,syncgen,0
1975,DRC,22276665,22582000,syncgen,0
1980,DRC,26202870,26377000,syncgen,0
1985,DRC,30892505,30981000,syncgen,0
1990,DRC,35259060,35562000,syncgen,0
1995,DRC,45271066,45453000,syncgen,0
2000,DRC,51195202,51654000,syncgen,0
2005,DRC,58992936,59077000,syncgen,0
2010,DRC,67853694,67865160,syncgen,0
1965,UGA,8046637,8047000,syncgen,0
1970,UGA,9783836,9806000,syncgen,0
1975,UGA,11492414,11549000,syncgen,0
1980,UGA,12854898,13120000,syncgen,0
1985,UGA,14654399,14762000,syncgen,0
1990,UGA,16577401,16649000,syncgen,0
1995,UGA,18848477,19263000,syncgen,0
2000,UGA,21753620,21778000,syncgen,2091
2005,UGA,26367438,26495000,syncgen,3418
2010,UGA,31083886,31118996,syncgen,3983
1965,KEN,9659203,9749000,syncgen,0
1970,KEN,11147161,11247000,syncgen,0
1975,KEN,13361280,13413000,syncgen,161
1980,KEN,16549581,16667000,syncgen,321
1985,KEN,20155497,20333000,syncgen,482
1990,KEN,23992642,24032000,syncgen,642
1995,KEN,30262180,30522000,syncgen,803
2000,KEN,30002377,30080000,syncgen,963
2005,KEN,35236853,35267000,syncgen,1703
2010,KEN,40144055,40187108,syncgen,1929
1965,TAZ,11647823,11673000,syncgen,7928
1970,TAZ,13080652,13273000,syncgen,8891
1975,TAZ,15023445,15312000,syncgen,9972
1980,TAZ,18510440,18580000,syncgen,11184
1985,TAZ,21346773,21733000,syncgen,12544
1990,TAZ,25531541,25635000,syncgen,14069
1995,TAZ,30266915,30337000,syncgen,15779
2000,TAZ,33438204,33517000,syncgen,17697
2005,TAZ,37211703,37379000,syncgen,19848
2010,TAZ,42862247,43070004,syncgen,22784
1965,BUI,3206312,3210000,syncgen,0
1970,BUI,3543885,3544000,syncgen,0
1975,BUI,3636950,3745000,syncgen,0
1980,BUI,3989723,4118000,syncgen,0
1985,BUI,4592421,4718000,syncgen,0
1990,BUI,5449293,5458000,syncgen,0
1995,BUI,5969675,5982000,syncgen,0
2000,BUI,6554662,6695000,syncgen,0
2005,BUI,7555148,7557000,syncgen,0
2010,BUI,8587438,8595166,syncgen,0
1965,RWA,3124283,3130000,syncgen,0
1970,RWA,3689922,3690000,syncgen,0
1975,RWA,3992862,4193000,syncgen,0
1980,RWA,5161400,5162000,syncgen,0
1985,RWA,6029650,6052000,syncgen,0
1990,RWA,6929596,7181000,syncgen,0
1995,RWA,5060964,5184000,syncgen,0
2000,RWA,7463817,7733000,syncgen,0
2005,RWA,8923123,8992000,syncgen,0
2010,RWA,10206774,10344436,syncgen,0
1960,SOM,3784148,3785000,syncgen,0
1965,SOM,4225439,4239000,syncgen,0
1970,SOM,4790897,4791000,syncgen,0
1975,SOM,5415290,5471000,syncgen,0
1980,SOM,6710686,6713000,syncgen,0
1985,SOM,7823321,7875000,syncgen,0
1990,SOM,8593957,8623000,syncgen,0
1995,SOM,9425041,9491000,syncgen,0
2000,SOM,10073642,10097000,syncgen,0
2005,SOM,8325135,8354000,syncgen,0
2010,SOM,9306835,9330345,syncgen,0
1980,DJI,354382,355000,syncgen,0
1985,DJI,427852,430000,syncgen,0
1990,DJI,515040,517000,syncgen,0
1995,DJI,598859,601000,syncgen,0
2000,DJI,637202,638000,syncgen,0
2005,DJI,803714,805000,syncgen,0
2010,DJI,882741,882943,syncgen,0
1945,ETH,17201734,17202000,syncgen,0
1950,ETH,19572410,19573000,syncgen,0
1955,ETH,19067577,19100000,syncgen,0
1960,ETH,20609465,20700000,syncgen,0
1965,ETH,22621589,22699000,syncgen,0
1970,ETH,24618575,24626000,syncgen,0
1975,ETH,27078804,27102000,syncgen,0
1980,ETH,30944234,31065000,syncgen,0
1985,ETH,43357537,44255000,syncgen,0
1990,ETH,51575830,51689000,syncgen,0
1995,ETH,56488011,56677000,syncgen,0
2000,ETH,62549958,62565000,syncgen,0
2005,ETH,73017240,73044000,syncgen,0
2010,ETH,82225291,82278800,syncgen,0
1995,ERI,3163498,3171000,syncgen,0
2000,ERI,3837520,3850000,syncgen,0
2005,ERI,4472602,4473000,syncgen,0
2010,ERI,5218672,5234450,syncgen,0
1975,ANG,6113649,6123000,syncgen,0
1980,ANG,7014414,7019000,syncgen,0
1985,ANG,7999503,8003000,syncgen,0
1990,ANG,9974171,10020000,syncgen,80
1995,ANG,10656412,10816000,syncgen,0
2000,ANG,12197136,12878000,syncgen,109
2005,ANG,16574433,16618000,syncgen,142
2010,ANG,19029459,19114176,syncgen,162
1975,MZM,9079823,9119000,syncgen,0
1980,MZM,12101846,12103000,syncgen,141
1985,MZM,13818883,13868000,syncgen,270
1990,MZM,14096577,14151000,syncgen,516
1995,MZM,17116417,17423000,syncgen,987
2000,MZM,19407081,19680000,syncgen,1889
2005,MZM,19179212,19420000,syncgen,3612
2010,MZM,21746798,21841850,syncgen,4063
1965,ZAM,3694993,3695000,syncgen,1059
1970,ZAM,4237396,4238000,syncgen,1352
1975,ZAM,4892030,4893000,syncgen,1727
1980,ZAM,5736025,5738000,syncgen,2205
1985,ZAM,6649517,6725000,syncgen,2817
1990,ZAM,7689207,8073000,syncgen,3597
1995,ZAM,7731369,8081000,syncgen,4594
2000,ZAM,9161836,9169000,syncgen,5868
2005,ZAM,11433872,11441000,syncgen,0
2010,ZAM,13022522,13039656,syncgen,0
1965,ZIM,4432187,4475000,syncgen,0
1970,ZIM,5295183,5310000,syncgen,0
1975,ZIM,6222577,6280000,syncgen,62
1980,ZIM,7082894,7096000,syncgen,124
1985,ZIM,8293249,8379000,syncgen,187
1990,ZIM,9136630,9369000,syncgen,249
1995,ZIM,11175708,11526000,syncgen,311
2000,ZIM,10984865,11669000,syncgen,373
2005,ZIM,11935097,12372000,syncgen,392
2010,ZIM,12105955,12165294,syncgen,389
1965,MAW,3904448,3908000,syncgen,0
1970,MAW,4605626,4606000,syncgen,0
1975,MAW,5207799,5236000,syncgen,0
1980,MAW,6031703,6046000,syncgen,0
1985,MAW,6991195,7059000,syncgen,0
1990,MAW,8199458,8289000,syncgen,0
1995,MAW,9487989,9788000,syncgen,0
2000,MAW,10133303,10925000,syncgen,0
2005,MAW,12250169,12341000,syncgen,0
2010,MAW,14454268,14460699,syncgen,0
1945,SAF,11242873,11265000,syncgen,831
1950,SAF,13308545,13310000,syncgen,973
1955,SAF,14843484,14911000,syncgen,1139
1960,SAF,17067861,17122000,syncgen,1305
1965,SAF,19593526,19607000,syncgen,1471
1970,SAF,22444724,22458000,syncgen,1637
1975,SAF,25668754,25669000,syncgen,1818
1980,SAF,29155353,29170000,syncgen,2000
1985,SAF,32994475,33043000,syncgen,10351
1990,SAF,37011296,37066000,syncgen,14526
1995,SAF,41137550,41244000,syncgen,0
2000,SAF,39915088,40377000,syncgen,27053
2005,SAF,46973479,47335000,syncgen,30284
2010,SAF,49591874,50022088,syncgen,33515
1990,NAM,1350000,1352000,syncgen,0
1995,NAM,1528986,1536000,syncgen,0
2000,NAM,1709372,1726000,syncgen,0
2005,NAM,1947728,1957000,syncgen,0
2010,NAM,2141053,2144764,syncgen,0
1970,LES,1063925,1064000,syncgen,0
1975,LES,1182877,1187000,syncgen,0
1980,LES,1337500,1339000,syncgen,0
1985,LES,1498895,1503000,syncgen,0
1990,LES,1777980,1783000,syncgen,0
1995,LES,2009716,2027000,syncgen,0
2000,LES,2147825,2153000,syncgen,0
2005,LES,1956593,1995000,syncgen,0
2010,LES,2087864,2094896,syncgen,0
1970,BOT,596930,597000,syncgen,0
1975,BOT,709639,712000,syncgen,15
1980,BOT,878210,894000,syncgen,30
1985,BOT,1087961,1088000,syncgen,45
1990,BOT,1291810,1300000,syncgen,60
1995,BOT,1437300,1456000,syncgen,75
2000,BOT,1612898,1622000,syncgen,1900
2005,BOT,1704113,1708000,syncgen,93
2010,BOT,1777598,1807515,syncgen,100
1970,SWA,418996,419000,syncgen,0
1975,SWA,477922,479000,syncgen,0
1980,SWA,548648,550000,syncgen,0
1985,SWA,637944,638000,syncgen,0
1990,SWA,765810,769000,syncgen,0
1995,SWA,904544,908000,syncgen,0
2000,SWA,1006419,1008000,syncgen,0
2005,SWA,1122562,1126000,syncgen,0
2010,SWA,1216670,1220594,syncgen,0
1960,MAG,5359519,5367000,syncgen,3338
1965,MAG,6063997,6080000,syncgen,3740
1970,MAG,6859956,6860000,syncgen,4191
1975,MAG,7752378,7778000,syncgen,4695
1980,MAG,9071980,9072000,syncgen,5200
1985,MAG,9943710,9985000,syncgen,5850
1990,MAG,11117490,11197000,syncgen,6500
1995,MAG,14872278,14874000,syncgen,7235
2000,MAG,15888537,15942000,syncgen,0
2005,MAG,17684682,17730000,syncgen,8723
2010,MAG,20535170,20538780,syncgen,17200
1975,COM,312571,316000,syncgen,0
1980,COM,381572,383000,syncgen,0
1985,COM,446123,448000,syncgen,0
1990,COM,521280,523000,syncgen,0
1995,COM,610805,612000,syncgen,0
2000,COM,692798,694000,syncgen,0
2005,COM,599835,600000,syncgen,0
2010,COM,679828,679961,syncgen,0
1970,MAS,828883,829000,syncgen,1600
1975,MAS,890842,892000,syncgen,1500
1980,MAS,965910,966000,syncgen,1400
1985,MAS,1016850,1021000,syncgen,7600
1990,MAS,1057550,1059000,syncgen,13800
1995,MAS,1106390,1122000,syncgen,14600
2000,MAS,1156382,1158000,syncgen,12500
2005,MAS,1241089,1243000,syncgen,8000
2010,MAS,1280028,1280511,syncgen,3500
1980,SEY,62902,63000,syncgen,29
1985,SEY,64723,65000,syncgen,32
1990,SEY,69815,70000,syncgen,35
1995,SEY,74833,75000,syncgen,38
2000,SEY,76538,77000,syncgen,150
2005,SEY,81528,83000,syncgen,75
2010,SEY,86526,86617,syncgen,0
1955,MOR,10541980,10542000,syncgen,0
1960,MOR,11590110,11637000,syncgen,0
1965,MOR,13110937,13194000,syncgen,0
1970,MOR,14887489,14973000,syncgen,0
1975,MOR,16983100,17006000,syncgen,0
1980,MOR,19313080,19332000,syncgen,0
1985,MOR,21748394,21836000,syncgen,0
1990,MOR,24399445,24487000,syncgen,0
1995,MOR,26116205,26386000,syncgen,0
2000,MOR,28032800,28351000,syncgen,0
2005,MOR,30149828,30172000,syncgen,0
2010,MOR,31753775,31776052,syncgen,0
1965,ALG,11279838,11923000,syncgen,0
1970,ALG,13721300,13746000,syncgen,0
1975,ALG,15963610,16018000,syncgen,0
1980,ALG,18573952,18666000,syncgen,0
1985,ALG,21694210,21850000,syncgen,0
1990,ALG,24997000,25022000,syncgen,0
1995,ALG,27217500,28060000,syncgen,0
2000,ALG,31059573,31471000,syncgen,0
2005,ALG,32840714,32906000,syncgen,0
2010,ALG,35594990,35666324,syncgen,0
1955,TUN,3775390,3929000,syncgen,0
1960,TUN,4212792,4221000,syncgen,0
1965,TUN,4604937,4630000,syncgen,0
1970,TUN,5125990,5126000,syncgen,0
1975,TUN,5386008,5611000,syncgen,0
1980,TUN,6467191,6566000,syncgen,0
1985,TUN,7237112,7261000,syncgen,0
1990,TUN,8151450,8154000,syncgen,0
1995,TUN,8919210,8958000,syncgen,0
2000,TUN,9515946,9586000,syncgen,0
2005,TUN,9955710,10029000,syncgen,0
2010,TUN,10482352,10548997,syncgen,0
1950,LIB,986766,1020000,syncgen,0
1955,LIB,1109650,1126000,syncgen,0
1960,LIB,1159000,1300000,syncgen,0
1965,LIB,1518784,1567000,syncgen,0
1970,LIB,1825000,1855000,syncgen,0
1975,LIB,2166945,2230000,syncgen,0
1980,LIB,2675000,2743000,syncgen,0
1985,LIB,3361490,3374000,syncgen,0
1990,LIB,4137778,4151000,syncgen,466
1995,LIB,5248323,5407000,syncgen,0
2000,LIB,5605000,5605000,syncgen,0
2005,LIB,5863770,5923000,syncgen,0
2010,LIB,6506106,6509106,syncgen,0
1960,SUD,11144000,11165000,syncgen,0
1965,SUD,12226576,12359000,syncgen,0
1970,SUD,13734020,13859000,syncgen,0
1975,SUD,15341340,15726000,syncgen,0
1980,SUD,18639515,18681000,syncgen,0
1985,SUD,22074767,22109000,syncgen,0
1990,SUD,25015633,25752000,syncgen,0
1995,SUD,26706659,26707000,syncgen,0
2000,SUD,29453371,29490000,syncgen,0
2005,SUD,34785090,35397000,syncgen,0
2010,SUD,39782745,40125232,syncgen,0
1945,IRN,15175000,15215000,syncgen,0
1950,IRN,15757849,16276000,syncgen,0
1955,IRN,18148248,18325000,syncgen,0
1960,IRN,21034000,21439000,syncgen,0
1965,IRN,25432060,25789000,syncgen,0
1970,IRN,28109733,28705000,syncgen,0
1975,IRN,32802617,32818000,syncgen,0
1980,IRN,38615800,39291000,syncgen,0
1985,IRN,47052000,47820000,syncgen,0
1990,IRN,53996496,54496000,syncgen,0
1995,IRN,66973494,68365000,syncgen,0
2000,IRN,67555970,67702000,syncgen,0
2005,IRN,69250700,69500000,syncgen,0
2010,IRN,74023524,74073560,syncgen,0
1945,TUR,18683574,18729000,syncgen,0
1950,TUR,20613150,20770000,syncgen,0
1955,TUR,23843444,23853000,syncgen,0
1960,TUR,27495259,27506000,syncgen,0
1965,TUR,31033004,31149000,syncgen,0
1970,TUR,35209483,35321000,syncgen,0
1975,TUR,39776489,40026000,syncgen,0
1980,TUR,44343500,44439000,syncgen,0
1985,TUR,48971370,50306000,syncgen,0
1990,TUR,56041432,56098000,syncgen,13500
1995,TUR,61515879,61644000,syncgen,0
2000,TUR,66226568,66591000,syncgen,0
2005,TUR,71775554,72065000,syncgen,0
2010,TUR,76418971,76787632,syncgen,0
1945,IRQ,4589575,4611000,syncgen,0
1950,IRQ,5108394,5198000,syncgen,0
1955,IRQ,5538208,5961000,syncgen,5588
1960,IRQ,6269178,6885000,syncgen,0
1965,IRQ,8017918,8047000,syncgen,0
1970,IRQ,9378199,9440000,syncgen,0
1975,IRQ,11081570,11124000,syncgen,0
1980,IRQ,13164509,13238000,syncgen,0
1985,IRQ,15398189,15585000,syncgen,0
1990,IRQ,17841310,18078000,syncgen,0
1995,IRQ,19993495,20095000,syncgen,0
2000,IRQ,22854550,23115000,syncgen,0
2005,IRQ,27823185,27963000,syncgen,0
2010,IRQ,31160000,31800000,syncgen,0
1945,EGY,18359909,18460000,syncgen,0
1950,EGY,20141180,20461000,syncgen,0
1955,EGY,22948090,22990000,syncgen,0
1960,EGY,25755000,26085000,syncgen,0
1965,EGY,29326348,29389000,syncgen,0
1970,EGY,32873495,33053000,syncgen,0
1975,EGY,36983303,36997000,syncgen,0
1980,EGY,39669045,40578000,syncgen,0
1985,EGY,46170397,46473000,syncgen,0
1990,EGY,53119800,53270000,syncgen,0
1995,EGY,55404752,59226000,syncgen,0
2000,EGY,68446593,68470000,syncgen,0
2005,EGY,72543110,73044000,syncgen,0
2010,EGY,80912783,81277560,syncgen,0
1950,SYR,3418731,3495000,syncgen,0
1955,SYR,3938559,3967000,syncgen,0
1960,SYR,4497954,4500000,syncgen,0
1965,SYR,5057351,5325000,syncgen,0
1970,SYR,6304500,6305000,syncgen,0
1975,SYR,7331386,7380000,syncgen,0
1980,SYR,8977724,9053000,syncgen,0
1985,SYR,10173605,10267000,syncgen,0
1990,SYR,12006099,12116000,syncgen,0
1995,SYR,14178497,14186000,syncgen,0
2000,SYR,16124128,16125000,syncgen,0
2005,SYR,18133894,18138000,syncgen,0
2010,SYR,20201026,20368588,syncgen,0
1945,LEB,1144677,1156000,syncgen,0
1950,LEB,1317689,1443000,syncgen,0
1955,LEB,1527501,1613000,syncgen,0
1960,LEB,1801000,1857000,syncgen,0
1965,LEB,2073275,2151000,syncgen,0
1970,LEB,2345550,2469000,syncgen,0
1975,LEB,2506800,2767000,syncgen,0
1980,LEB,2668051,2669000,syncgen,0
1985,LEB,2667980,2668000,syncgen,0
1990,LEB,2555000,2555000,syncgen,0
1995,LEB,3004998,3009000,syncgen,0
2000,LEB,3278670,3282000,syncgen,0
2005,LEB,4063132,4082000,syncgen,0
2010,LEB,4062137,4081000,syncgen,0
1945,JOR,1018540,1086000,syncgen,0
1950,JOR,1236990,1237000,syncgen,0
1955,JOR,1418110,1437000,syncgen,0
1960,JOR,1690000,1695000,syncgen,0
1965,JOR,1907970,1909000,syncgen,0
1970,JOR,2298990,2299000,syncgen,0
1975,JOR,2674060,2702000,syncgen,0
1980,JOR,2903060,2923000,syncgen,0
1985,JOR,3779837,3833000,syncgen,0
1990,JOR,4257550,4259000,syncgen,0
1995,JOR,5362978,5373000,syncgen,0
2000,JOR,6669000,6669000,syncgen,0
2005,JOR,5473000,5473000,syncgen,0
2010,JOR,6112145,6112148,syncgen,0
1950,ISR,1257081,1258000,syncgen,0
1955,ISR,1743032,1748000,syncgen,0
1960,ISR,2085156,2117000,syncgen,0
1965,ISR,2549997,2563000,syncgen,0
1970,ISR,2937197,2974000,syncgen,0
1975,ISR,3409760,3455000,syncgen,0
1980,ISR,3870899,3878000,syncgen,0
1985,ISR,4136439,4233000,syncgen,0
1990,ISR,4609358,4660000,syncgen,0
1995,ISR,5522400,5545000,syncgen,0
2000,ISR,6039299,6217000,syncgen,0
2005,ISR,6859098,6930000,syncgen,0
2010,ISR,7592699,7624494,syncgen,0
1945,SAU,2830000,2866000,syncgen,0
1950,SAU,3145000,3201000,syncgen,0
1955,SAU,3550000,3593000,syncgen,0
1960,SAU,4035000,4075000,syncgen,0
1965,SAU,4581000,4793000,syncgen,0
1970,SAU,5687550,5745000,syncgen,0
1975,SAU,7116500,7251000,syncgen,0
1980,SAU,9596000,9604000,syncgen,3000
1985,SAU,12631150,12649000,syncgen,9000
1990,SAU,14867900,14870000,syncgen,15000
1995,SAU,18252000,18255000,syncgen,0
2000,SAU,20433580,20808000,syncgen,0
2005,SAU,22669480,23119000,syncgen,0
2010,SAU,26043051,26090784,syncgen,0
1945,YAR,2939285,3096000,syncgen,0
1950,YAR,3300000,3324000,syncgen,0
1955,YAR,3512000,3646000,syncgen,0
1960,YAR,4000000,4039000,syncgen,0
1965,YAR,4416500,4492000,syncgen,0
1970,YAR,4833000,4835000,syncgen,0
1975,YAR,5315865,5316000,syncgen,0
1980,YAR,6356593,6357000,syncgen,0
1985,YAR,7610999,7621000,syncgen,0
1990,YAR,8560000,9196000,syncgen,0
1990,YEM,11225000,11279000,syncgen,0
1995,YEM,15327560,15369000,syncgen,0
2000,YEM,18118000,18118000,syncgen,0
2005,YEM,20743664,20745000,syncgen,0
2010,YEM,23369328,23605382,syncgen,0
1970,YPR,1436000,1436000,syncgen,0
1975,YPR,1674000,1674000,syncgen,0
1980,YPR,1902180,1903000,syncgen,0
1985,YPR,2116000,2164000,syncgen,0
1990,YPR,2333000,2460000,syncgen,0
1960,KUW,355857,366000,syncgen,0
1965,KUW,461640,475000,syncgen,0
1970,KUW,717120,747000,syncgen,0
1975,KUW,976790,1007000,syncgen,0
1980,KUW,1349800,1370000,syncgen,0
1985,KUW,1683588,1720000,syncgen,0
1990,KUW,2073999,2141000,syncgen,0
1995,KUW,1597118,1691000,syncgen,0
2000,KUW,1670480,1972000,syncgen,0
2005,KUW,2124848,2245000,syncgen,0
2010,KUW,2586320,2695568,syncgen,0
1970,BAH,212590,218000,syncgen,0
1975,BAH,262000,262000,syncgen,0
1980,BAH,322589,334000,syncgen,0
1985,BAH,367000,425000,syncgen,0
1990,BAH,476384,503000,syncgen,0
1995,BAH,576892,578000,syncgen,0
2000,BAH,613733,617000,syncgen,0
2005,BAH,883984,888824,syncgen,0
2010,BAH,1227159,1234571,syncgen,0
1970,QAT,120000,120000,syncgen,0
1975,QAT,169290,171000,syncgen,0
1980,QAT,228500,229000,syncgen,0
1985,QAT,346165,358000,syncgen,0
1990,QAT,472500,486000,syncgen,0
1995,QAT,528381,548000,syncgen,0
2000,QAT,550182,599000,syncgen,0
2005,QAT,687585,744029,syncgen,0
2010,QAT,1560939,1699435,syncgen,0
1970,UAE,419300,505000,syncgen,0
1975,UAE,463259,505000,syncgen,0
1980,UAE,963679,1015000,syncgen,0
1985,UAE,1514692,1552000,syncgen,0
1990,UAE,1862484,1921000,syncgen,0
1995,UAE,2279720,2314000,syncgen,0
2000,UAE,2436706,2441000,syncgen,0
2005,UAE,3964400,3995000,syncgen,0
2010,UAE,6210819,6236650,syncgen,0
1970,OMA,745000,745000,syncgen,0
1975,OMA,841000,841000,syncgen,0
1980,OMA,1105740,1130000,syncgen,0
1985,OMA,1349751,1425000,syncgen,0
1990,OMA,1927345,2000000,syncgen,0
1995,OMA,2246056,2400000,syncgen,0
2000,OMA,2534531,2553300,syncgen,0
2005,OMA,2593543,2600000,syncgen,0
2010,OMA,2883594,2979954,syncgen,0
1945,AFG,8426140,8449000,syncgen,0
1950,AFG,8942379,8958000,syncgen,0
1955,AFG,9702181,9734000,syncgen,0
1960,AFG,10630726,10775000,syncgen,0
1965,AFG,11944448,12071000,syncgen,0
1970,AFG,13621930,13623000,syncgen,0
1975,AFG,15127440,15378000,syncgen,0
1980,AFG,17027541,17300000,syncgen,0
1985,AFG,15375837,15519000,syncgen,0
1990,AFG,15623669,15754000,syncgen,0
1995,AFG,19307157,19661000,syncgen,0
2000,AFG,22367071,22720000,syncgen,0
2005,AFG,25687847,26000000,syncgen,0
2010,AFG,26963103,27000000,syncgen,0
1995,TKM,4465370,4509000,syncgen,0
2000,TKM,4415853,4459000,syncgen,0
2005,TKM,5217025,5268000,syncgen,0
2010,TKM,5562361,5616004,syncgen,0
1995,TAJ,5832300,5836000,syncgen,0
2000,TAJ,6128120,6188000,syncgen,0
2005,TAJ,6783500,6850000,syncgen,0
2010,TAJ,7040813,7436448,syncgen,0
1995,KYR,4404656,4514000,syncgen,0
2000,KYR,4673510,4699000,syncgen,0
2005,KYR,4939834,5144000,syncgen,0
2010,KYR,4941533,5365372,syncgen,0
1995,UZB,22497777,22690000,syncgen,367
2000,UZB,24209429,24318000,syncgen,401
2005,UZB,26024495,26167000,syncgen,0
2010,UZB,28105556,28160570,syncgen,0
1995,KZK,16002241,16066000,syncgen,966
2000,KZK,16187480,16223000,syncgen,0
2005,KZK,15068883,15147000,syncgen,0
2010,KZK,16293878,16315848,syncgen,0
1945,CHN,548509386,548586000,syncgen,422411220
1950,CHN,571834056,571889024,syncgen,420034304
1955,CHN,608756458,609005000,syncgen,371559884
1960,CHN,657218780,657491968,syncgen,305005000
1965,CHN,713725260,729190976,syncgen,337111044
1970,CHN,820592482,830675008,syncgen,356136624
1975,CHN,924133107,927808000,syncgen,347980211
1980,CHN,992641545,998876992,syncgen,372823797
1985,CHN,1067278422,1070174976,syncgen,408667384
1990,CHN,1149691565,1155304960,syncgen,443510971
1995,CHN,1215200120,1220224000,syncgen,475354557
2000,CHN,1276049864,1277558016,syncgen,536574366
2005,CHN,1300233963,1303719936,syncgen,547562373
2010,CHN,1341577454,1345174272,syncgen,564973194
1945,MON,745168,754000,syncgen,655
1950,MON,765986,766000,syncgen,980
1955,MON,834563,836000,syncgen,1465
1960,MON,951916,952000,syncgen,1950
1965,MON,1084620,1090000,syncgen,2435
1970,MON,1247994,1248000,syncgen,2920
1975,MON,1412142,1446000,syncgen,4368
1980,MON,1660922,1661000,syncgen,5815
1985,MON,1863436,1878000,syncgen,7263
1990,MON,2214258,2216000,syncgen,8710
1995,MON,2335480,2347000,syncgen,12341
2000,MON,2525255,2662000,syncgen,15972
2005,MON,2678597,2850000,syncgen,17100
2010,MON,2735938,2746016,syncgen,45000
1950,TAW,7417830,7427000,syncgen,4330485
1955,TAW,9057186,9078000,syncgen,5174460
1960,TAW,10747638,10792000,syncgen,6151440
1965,TAW,12599695,12628000,syncgen,7097960
1970,TAW,14622433,14676000,syncgen,7925040
1975,TAW,16108754,16150000,syncgen,8559500
1980,TAW,17804360,17805000,syncgen,9432650
1985,TAW,19167730,19258000,syncgen,10014160
1990,TAW,20352470,20353000,syncgen,10380030
1995,TAW,21236978,21304000,syncgen,11078080
2000,TAW,21676850,21875000,syncgen,8762000
2005,TAW,22611921,22770000,syncgen,4015500
2010,TAW,22578298,22770000,syncgen,9120490
1950,PRK,9487900,9488000,syncgen,0
1955,PRK,8847900,8848000,syncgen,0
1960,PRK,10524900,10525000,syncgen,0
1965,PRK,12060900,12061000,syncgen,0
1970,PRK,14262800,14263000,syncgen,0
1975,PRK,16300940,16301000,syncgen,0
1980,PRK,17656480,17666000,syncgen,0
1985,PRK,18941900,18942000,syncgen,0
1990,PRK,20319200,20363000,syncgen,14000
1995,PRK,21913789,22097000,syncgen,14488
2000,PRK,23948170,24039000,syncgen,14976
2005,PRK,23670222,23760000,syncgen,14802
2010,PRK,24302113,24394288,syncgen,15197
1950,ROK,20343313,20357000,syncgen,2117
1955,ROK,21268570,21424000,syncgen,4151
1960,ROK,24865455,25012000,syncgen,6185
1965,ROK,28629707,28705000,syncgen,8219
1970,ROK,32165098,32241000,syncgen,10253
1975,ROK,35280763,35281000,syncgen,14690
1980,ROK,37979942,38124000,syncgen,19127
1985,ROK,40591534,40806000,syncgen,23563
1990,ROK,42679675,42869000,syncgen,25981
1995,ROK,44767820,45093000,syncgen,28400
2000,ROK,46127610,46844000,syncgen,36700
2005,ROK,47487403,48138000,syncgen,45000
2010,ROK,48214437,48875000,syncgen,45688
1945,JPN,105659957,72147000,syncgen,11529
1950,JPN,127578439,85503000,syncgen,14000
1955,JPN,134712557,89020000,syncgen,17000
1960,JPN,145918694,93216000,syncgen,20000
1965,JPN,155161247,97952000,syncgen,29957
1970,JPN,165664094,103403000,syncgen,39914
1975,JPN,179271021,111573000,syncgen,42457
1980,JPN,190641464,116807000,syncgen,45000
1985,JPN,198672736,120837000,syncgen,92500
1990,JPN,203124753,123478000,syncgen,120000
1995,JPN,207686325,125472000,syncgen,201782
2000,JPN,198519333,126714000,syncgen,250000
2005,JPN,214983033,127773000,syncgen,275000
2010,JPN,211308623,127451704,syncgen,295000
1950,IND,358205076,358292992,syncgen,33715
1955,IND,390122895,390149000,syncgen,40269
1960,IND,431718307,432703008,syncgen,46823
1965,IND,480458997,482529984,syncgen,53376
1970,IND,554901772,554910976,syncgen,59930
1975,IND,601788900,602748000,syncgen,64965
1980,IND,672012698,673388032,syncgen,70000
1985,IND,750109739,750910976,syncgen,90000
1990,IND,834446619,834697024,syncgen,110000
1995,IND,915002758,915971008,syncgen,121395
